No,Kab_Kota,Indeks_Kedalaman_X1,Indeks_Keparahan_X2,Presentase_Kemiskinan_X3,Data_Penduduk_Miskin_Y
1,Bogor,1.6,0.4,9,487
2,Sukabumi,1.5,0.2,9,218
3,Cianjur,1.2,0.4,12,274
4,Bandung,1.8,0.4,8,281
5,Garut,2,0.5,13,326
6,Tasikmalaya,1.9,0.4,12,208
7,Ciamis,1.3,0.3,9,105
8,Kuningan,2.3,0.6,14,147
9,Cirebon,2.4,0.5,15,313
10,Majalengka,2.3,0.6,14,178
11,Sumedang,1.8,0.4,11,129
12,Indramayu,2.3,0.6,15,253
13,Subang,2.4,0.8,12,187
14,Purwakarta,1.4,0.3,9,84
15,Karawang,1.5,0.3,10,235
16,Bekasi,0.7,0.1,5,169
17,Bandung Barat,2.1,0.5,13,206
18,Pangandaran,1.7,0.4,11,42
19,Kota Bogor,1.2,0.3,8,79
20,Kota Sukabumi,1.5,0.4,9,28
21,Kota Bandung,0.7,0.1,5,114
22,Kota Cirebon,1.2,0.2,10,32
23,Kota Bekasi,0.6,0.1,5,147
24,Kota Depok,0.2,0.06,2,50
25,Kota Cimahi,0.9,0.2,6,34
26,Kota Tasikmalaya,2.8,0.6,16,104
27,Kota Banjar,0.7,0.1,7,13
