No,Kab_Kota,Indeks_Kedalaman_X1,Indeks_Keparahan_X2,Presentase_Kemiskinan_X3,Data_Penduduk_Miskin_Y
1,Bogor,0.83,0.15,6.66,395
2,Sukabumi,0.66,0.11,6.22,153
3,Cianjur,0.74,0.11,9.15,207
4,Bandung,1.04,0.28,5.94,223
5,Garut,0.87,0.16,8.98,235
6,Tasikmalaya,0.84,0.12,9.12,160
7,Ciamis,0.76,0.14,6.65,79
8,Kuningan,1.24,0.18,11.41,123
9,Cirebon,1.29,0.26,9.94,218
10,Majalengka,1.39,0.28,10.06,121
11,Sumedang,1.05,0.21,9.05,104
12,Indramayu,1.66,0.4,11.11,192
13,Subang,1.39,0.34,8.12,129
14,Purwakarta,1.24,0.28,7.48,72
15,Karawang,1.06,0.24,7.39,174
16,Bekasi,0.6,0.15,4.01,149
17,Bandung Barat,1.54,0.33,9.38,159
18,Pangandaran,0.9,0.16,7.71,31
19,Kota Bogor,0.72,0.18,5.77,64
20,Kota Sukabumi,1.08,0.32,6.67,22
21,Kota Bandung,0.53,0.14,3.38,85
22,Kota Cirebon,1.23,0.26,8.41,27
23,Kota Bekasi,0.47,0.1,3.81,114
24,Kota Depok,0.24,0.04,2.07,49
25,Kota Cimahi,0.6,0.14,4.39,27
26,Kota Tasikmalaya,1.98,0.53,11.6,77
27,Kota Banjar,0.57,0.1,5.5,10

