No,Kab_Kota,Indeks_Kedalaman_X1,Indeks_Keparahan_X2,Presentase_Kemiskinan_X3,Data_Penduduk_Miskin_Y
1,Bogor,1.3,0.3,9,487
2,Sukabumi,1,0.2,8,197
3,Cianjur,1.5,0.3,11,257
4,Bandung,1.1,0.2,7,268
5,Garut,1.7,0.4,11,291
6,Tasikmalaya,1.3,0.2,11,189
7,Ciamis,1.2,0.2,8,97
8,Kuningan,2,0.4,13,142
9,Cirebon,2.1,0.5,13,280
10,Majalengka,1.9,0.4,12,150
11,Sumedang,1.9,0.5,11,121
12,Indramayu,2.3,0.6,14,233
13,Subang,2.2,0.6,11,168
14,Purwakarta,1,0.2,9,85
15,Karawang,1.5,0.3,10,237
16,Bekasi,0.8,0.2,4,164
17,Bandung Barat,2.3,0.7,11,191
18,Pangandaran,1.4,0.3,10,39
19,Kota Bogor,0.9,0.1,7,77
20,Kota Sukabumi,1.7,0.4,8,27
21,Kota Bandung,0.6,0.1,4,104
22,Kota Cirebon,1.5,0.4,10,30
23,Kota Bekasi,0.8,0.2,5,136
24,Kota Depok,0.2,0.06,2,52
25,Kota Cimahi,1.1,0.3,6,35
26,Kota Tasikmalaya,2,0.4,15,98
27,Kota Banjar,0.5,0.08,7,13
